document_id	entity_type	entity_text	entity_span
23476090_ru	FINDING	пропускали первую дозу вакцины	1274-1304
23476090_ru	FINDING	недостаточного охвата населения прививкой	1560-1601
23476090_ru	FINDING	высоким уровнем заболеваемости ВИЧ-инфекцией	1604-1648
23476090_ru	FINDING	высокой плотностью населения	1651-1679
23476092_ru	DISO	туберкулеза	205-216
23476092_ru	DISO	туберкулезом	479-491
23476092_ru	DISO	туберкулезом	852-864
23476092_ru	DISO	ВИЧ-положительные	526-543
23476092_ru	DISO	ВИЧ-положительных	822-839
23476092_ru	ANATOMY	CD4+ T-лимфоцитов	927-944
23476092_ru	ANATOMY	клеток	946-952
23476092_ru	ANATOMY	CD4+	953-957
23476092_ru	ANATOMY	CD4+	1101-1105
23476092_ru	DISO	туберкулеза	1247-1258
23476092_ru	PHYS	ретенции	1459-1467
23476092_ru	DISO	иммунодефицита	447-461
23476092_ru	ANATOMY	T-лимфоцитов	932-944
23476092_ru	ANATOMY	клетки	964-970
23476092_ru	DISO	иммунодефицита человека	447-470
23476092_ru	FINDING	повышение в шестимесячной ретенции	1433-1467
23476092_ru	FINDING	незначительное повышение в шестимесячной ретенции	1418-1467
23476092_ru	PHYS	среднее исходное число CD4+ T-лимфоцитов	904-944
23476092_ru	PHYS	среднее исходное число клеток CD4+	1071-1105
23476092_ru	ANATOMY	лимфоцитов	934-944
23476092_ru	ANATOMY	клеток	1094-1100
23476093_ru	DISO	экстренным акушерским случаям	238-267
23476093_ru	PHYS	смертельных случая	273-291
23476093_ru	INJURY_POISONING	угрозы жизни	298-310
23476093_ru	PHYS	родов	1662-1667
23476093_ru	PHYS	материнских смертей	1793-1812
23476093_ru	PHYS	родами	795-801
23476093_ru	PHYS	жизни	305-310
23476093_ru	FINDING	факторы риска	118-131
23476093_ru	DISO	экстренных акушерских случаях	2029-2058
23476093_ru	FINDING	Недостаточная доступность неотложной акушерской помощи	1730-1784
23476093_ru	PHYS	смертей	1805-1812
23476093_ru	FINDING	снизили бы уровень расходов для домохозяйств	1980-2024
23476093_ru	FINDING	неспособность реферальной системы устранить финансовые трудности	1398-1462
23554522_ru	FINDING	смертность	69-79
23554522_ru	CHEM	инъекционных опиоидных препаратов	99-132
23554522_ru	DISO	инфекции	189-197
23554522_ru	DISO	ВИЧ-инфицированных	307-325
23554522_ru	DISO	ВИЧ-положительных	327-344
23554522_ru	CHEM	инъекционных опиоидных препаратов	359-392
23554522_ru	FINDING	смертельных исходов	804-823
23554522_ru	FINDING	смертность	825-835
23554522_ru	FINDING	Смертность	904-914
23554522_ru	FINDING	смертности	1116-1126
23554522_ru	PHYS	смерти	1259-1265
23554522_ru	CHEM	гемоглобина	1373-1384
23554522_ru	CHEM	CD4+	1405-1409
23554522_ru	DISO	инфекционных	1479-1491
23554522_ru	CHEM	опиоидных препаратов	112-132
23554522_ru	CHEM	опиоидных препаратов	372-392
23554522_ru	CHEM	метадоновой	25-36
23554522_ru	DISO	иммунодефицита	205-219
23554522_ru	DISO	иммунодефицита человека	205-228
23554522_ru	DISO	инфекции вируса иммунодефицита человека	189-228
23554522_ru	FINDING	смертности	477-487
23554522_ru	FINDING	смертностью	653-664
23554522_ru	FINDING	низкий уровень гемоглобина	1358-1384
23554522_ru	ANATOMY	Т-лимфоцитов	1410-1422
23554522_ru	PHYS	смертельных	804-815
23554522_ru	FINDING	низкое количество CD4+	1387-1409
23554522_ru	PHYS	уровень гемоглобина	1365-1384
23554522_ru	PHYS	количество CD4+ Т-лимфоцитов	1394-1422
23554522_ru	FINDING	значительно снизилась	953-974
23554522_ru	ANATOMY	лимфоцитов	1412-1422
23554522_ru	ANATOMY	CD4+ Т-лимфоцитов	1405-1422
23554522_ru	FINDING	Неполучение МПТ являлось независимым предиктором смерти	1210-1265
23554523_ru	DEVICE	EMBASE	324-330
23554523_ru	DEVICE	Medline	332-339
23554523_ru	FINDING	ОПС	665-668
23554523_ru	FINDING	смертности	59-69
23554523_ru	CHEM	наркотики	90-99
23554523_ru	FINDING	смертности	128-138
23554523_ru	PHYS	смерти	149-155
23554523_ru	PHYS	смерти	260-266
23554523_ru	CHEM	наркотики	828-837
23554523_ru	FINDING	СКС	1024-1027
23554523_ru	FINDING	СКС	1066-1069
23554523_ru	FINDING	смертности	1173-1183
23554523_ru	CHEM	наркотики	1285-1294
23554523_ru	CHEM	наркотиков	1453-1463
23554523_ru	DISO	СПИД	1505-1509
23554523_ru	CHEM	наркотики	1615-1624
23554523_ru	PHYS	смерти	1667-1673
23554523_ru	FINDING	смертности	1701-1711
23554523_ru	PHYS	здоровья	1821-1829
23554523_ru	PHYS	смерти	1931-1937
23554523_ru	CHEM	наркотиков	1968-1978
23554523_ru	DEVICE	PsycINFO	342-350
23554523_ru	DISO	синдром приобретенного иммунодефицита	1466-1503
23554523_ru	DISO	ВИЧ-инфекции	1895-1907
23554523_ru	FINDING	общих показателей смертности	635-663
23554523_ru	FINDING	стандартизированных коэффициентов смертности	672-716
23554523_ru	FINDING	СКС	718-721
23554523_ru	INJURY_POISONING	Передозировка наркотиков	1439-1463
23554523_ru	FINDING	ОПС	932-935
23554523_ru	PHYS	смерти	1540-1546
23554523_ru	INJURY_POISONING	передозировки наркотиков	1954-1978
23554523_ru	PHYS	смертей	951-958
23554523_ru	DISO	иммунодефицита человека	1356-1379
23554523_ru	DISO	иммунодефицита	1356-1370
23554523_ru	DISO	иммунодефицита	1489-1503
23554523_ru	FINDING	смертности	706-716
23554523_ru	FINDING	смертности	653-663
23554523_ru	FINDING	повышенному риску смерти	1649-1673
23554523_ru	FINDING	Суммарный ОПС	922-935
23554523_ru	FINDING	уровни смертности	1694-1711
23554523_ru	FINDING	уровни смертности	121-138
23554523_ru	FINDING	суммарный СКС	1056-1069
23554523_ru	FINDING	высоким риском смерти	245-266
23554523_ru	DISO	инфекции	1899-1907
23554523_ru	FINDING	высокий уровень смертности	1157-1183
23554525_ru	CHEM	метадоновой	41-52
23554525_ru	DISO	опиоидной зависимости	588-609
23554525_ru	CHEM	метадона	761-769
23554525_ru	FINDING	несоблюдение режима терапии	771-798
23554525_ru	CHEM	метадона	1332-1340
23554525_ru	CHEM	метадоновой	1602-1613
23554525_ru	CHEM	опиоидной	588-597
23554525_ru	CHEM	метадоновой	371-382
23554525_ru	CHEM	метадоновой	535-546
23554525_ru	FINDING	большая текучесть специалистов	951-981
23554525_ru	FINDING	низкие дозы метадона	749-769
23554525_ru	FINDING	недостаточное обучение	926-948
23554525_ru	FINDING	высокий процент отсеявшихся пациентов	863-900
23554526_ru	CHEM	агонистами опиоидов	115-134
23554526_ru	PHYS	смертность	159-169
23554526_ru	CHEM	опиоиды	214-221
23554526_ru	CHEM	наркотики	243-252
23554526_ru	DISO	синдрома приобретенного иммунодефицита	351-389
23554526_ru	DISO	иммунодефицита	375-389
23554526_ru	CHEM	наркотиков	445-455
23554526_ru	DISO	инфекции	494-502
23554526_ru	CHEM	героин	566-572
23554526_ru	DISO	опиоидной зависимости	628-649
23554526_ru	FINDING	снижение вреда	678-692
23554526_ru	FINDING	сокращения вреда	836-852
23554526_ru	FINDING	заболеваемости	1221-1235
23554526_ru	FINDING	смертности	1238-1248
23554526_ru	PHYS	здоровьем	1298-1307
23554526_ru	DISO	опиоидной зависимости	1366-1387
23554526_ru	FINDING	сокращения вреда	1658-1674
23554526_ru	DISO	иммунодефицита человека	510-533
23554526_ru	CHEM	опиоидной	1366-1375
23554526_ru	DISO	ВИЧ-инфекции	1190-1202
23554526_ru	CHEM	опиоидов	126-134
23554526_ru	CHEM	опиоидной	628-637
23554526_ru	FINDING	улучшение качества жизни	1258-1282
23554526_ru	FINDING	Сокращения заболеваемости и смертности	1210-1248
23554526_ru	FINDING	Сокращения заболеваемости	1210-1235
23554526_ru	CHEM	запрещенные наркотики	231-252
23554526_ru	CHEM	запрещенные опиоиды	202-221
23554526_ru	CHEM	запрещенных наркотиков	433-455
23554526_ru	DISO	иммунодефицита	510-524
23554526_ru	PHYS	качества жизни	1268-1282
23554526_ru	PHYS	жизни	1277-1282
23554526_ru	DISO	инфекции	1194-1202
23599555_ru	DISO	иммунодефицита человека	141-164
23599555_ru	CHEM	инъекционных наркотиков	354-377
23599555_ru	CHEM	опиатов	388-395
23599555_ru	CHEM	инъекционные наркотики	751-773
23599555_ru	CHEM	инъекционные наркотики	931-953
23599555_ru	DEVICE	игл	1355-1358
23599555_ru	DEVICE	шприцов	1361-1368
23599555_ru	CHEM	агонистов	1435-1444
23599555_ru	CHEM	опиоидных рецепторов	1445-1465
23599555_ru	DISO	ВИЧ-положительных	1603-1620
23599555_ru	CHEM	наркотиков	367-377
23599555_ru	CHEM	наркотики	764-773
23599555_ru	DISO	ВИЧ-инфекции	891-903
23599555_ru	CHEM	запрещенные инъекционные наркотики	69-103
23599555_ru	CHEM	инъекционные наркотики	81-103
23599555_ru	CHEM	наркотики	94-103
23599555_ru	DISO	иммунодефицита	141-155
23599555_ru	CHEM	запрещенных инъекционных наркотиков	342-377
23599555_ru	CHEM	наркотики	944-953
23599555_ru	CHEM	опиоидных	1445-1454
23599555_ru	DISO	инфекции	895-903
23599555_ru	CHEM	агонистов опиоидных рецепторов	1435-1465
23599555_ru	DISO	инфицированных	118-132
23599555_ru	DISO	ВИЧ-инфекции	252-264
23599555_ru	DISO	инфекции	256-264
23599555_ru	CHEM	рецепторов	1455-1465
23678195_ru	PHYS	родов	793-798
23678195_ru	PHYS	родоразрешением	1256-1271
23678195_ru	PHYS	возрастом	1629-1638
23678195_ru	PHYS	раннего возраста	2018-2034
23678195_ru	PHYS	смертности	2058-2068
23678195_ru	PHYS	заболеваемости	2071-2085
23678195_ru	PHYS	родоразрешением	1500-1515
23678195_ru	ANATOMY	грудного	1884-1892
23678195_ru	ANATOMY	грудного	1973-1981
23678195_ru	ANATOMY	Грудное	1572-1579
23678195_ru	ANATOMY	грудное	1392-1399
23678195_ru	ANATOMY	грудном	649-656
23678195_ru	ANATOMY	грудного	1012-1020
23678195_ru	ANATOMY	грудном	976-983
23678195_ru	ANATOMY	грудное	737-744
23678195_ru	ANATOMY	грудного	409-417
23678195_ru	ANATOMY	грудного	22-30
23678195_ru	FINDING	отрицательную статистическую связь с родоразрешением	1219-1271
23678195_ru	FINDING	положительную статистическую связь с родоразрешением	1463-1515
23678195_ru	FINDING	не показало статистической связи с возрастом	1594-1638
23678195_ru	PHYS	раннего возраста	454-470
23678195_ru	ANATOMY	грудного	1773-1781
23678195_ru	FINDING	Ранее начало грудного вскармливания показало положительную статистическую связь	999-1078
23678195_ru	ANATOMY	грудное	841-848
23678195_ru	FINDING	сокращения уровней смертности и заболеваемости	2039-2085
23678195_ru	FINDING	сокращения уровней смертности	2039-2068
23678195_ru	PHYS	возраста	462-470
23678196_ru	DISO	рака	81-85
23678196_ru	DISO	рака легких	81-92
23678196_ru	DISO	рака	431-435
23678196_ru	DISO	рака	1197-1201
23678196_ru	DISO	рака	1289-1293
23678196_ru	PHYS	смертности	67-77
23678196_ru	PHYS	смертности	417-427
23678196_ru	PHYS	смертность	1183-1193
23678196_ru	FINDING	Смертность от рака легких	1275-1300
23678196_ru	PHYS	смертности	1637-1647
23678196_ru	ANATOMY	легких	86-92
23678196_ru	DISO	рака легких	431-442
23678196_ru	ANATOMY	легких	436-442
23678196_ru	DISO	рака	1651-1655
23678196_ru	ANATOMY	легких	1294-1300
23678196_ru	DISO	рака легких	1289-1300
23678196_ru	ANATOMY	легких	1202-1208
23678196_ru	DISO	рака легких	1197-1208
23678196_ru	FINDING	смертность от рака легких в целом была низкой	1183-1228
23678196_ru	FINDING	высокую распространенность курения	1354-1388
23678196_ru	FINDING	раннее начало курения стало более распространенным явлением	1505-1564
23678196_ru	FINDING	распространенность курения в целом была низкой	875-921
23678196_ru	FINDING	раннее начало было очень редким	925-956
23678196_ru	FINDING	Раннее начало курения было наиболее распространено	719-769
23678196_ru	FINDING	распространенность курения в целом была высокой	555-602
23678196_ru	FINDING	раннее начало курения было не очень распространено	666-716
23678196_ru	FINDING	высокие показатели распространенности курения	1072-1117
23678196_ru	FINDING	относительно высокий процент раннего начала	1120-1163
23678196_ru	FINDING	относительно низкой	1324-1343
23678196_ru	FINDING	Смертность	1275-1285
23678196_ru	FINDING	раннее начало курения встречалось довольно редко	1416-1464
23678197_ru	PHYS	здоровья	84-92
23678197_ru	DISO	задержки роста	496-510
23678197_ru	DISO	задержки роста	626-640
23678197_ru	PHYS	возраст	832-839
23678197_ru	PHYS	рост	863-867
23678197_ru	PHYS	массы тела	877-887
23678197_ru	DISO	диареи	1041-1047
23678197_ru	CHEM	табака	1093-1099
23678197_ru	PHYS	рождение	1102-1110
23678197_ru	DISO	задержки в росте	1179-1195
23678197_ru	PHYS	росте	1190-1195
23678197_ru	DISO	задержки в росте	1424-1440
23678197_ru	PHYS	росте	1435-1440
23678197_ru	CHEM	табака	1589-1595
23678197_ru	DISO	задержки роста	1632-1646
23678197_ru	CHEM	табака	1862-1868
23678197_ru	DISO	отставания ребенка в росте	762-788
23678197_ru	PHYS	родами	1829-1835
23678197_ru	PHYS	росте	132-137
23678197_ru	DISO	отставания в росте	119-137
23678197_ru	PHYS	роста	505-510
23678197_ru	PHYS	роста	635-640
23678197_ru	PHYS	родами	1555-1561
23678197_ru	PHYS	роста	1641-1646
23678197_ru	PHYS	росте	783-788
23678197_ru	CHEM	табака	1388-1394
23678197_ru	ANATOMY	тела	883-887
23678197_ru	FINDING	индекс массы тела	870-887
23678197_ru	PHYS	родами	923-929
23678197_ru	PHYS	родами	1357-1363
23678197_ru	PHYS	интервала между родами	1341-1363
23678197_ru	PHYS	интервала между родами	1813-1835
23678197_ru	PHYS	интервалы между родами	907-929
23678197_ru	PHYS	интервалов между родами	1538-1561
23678197_ru	FINDING	сокращению отставания в росте	108-137
23678197_ru	PHYS	пол	826-829
23678197_ru	PHYS	тип рождения	849-861
23678198_ru	DISO	послеродовым кровотечением	1136-1162
23678198_ru	PHYS	беременности	134-146
23678198_ru	PHYS	одноплодным беременностям	236-261
23678198_ru	PHYS	вынашивание	276-287
23678198_ru	PHYS	родоразрешениям	303-318
23678198_ru	ANATOMY	затылочном	323-333
23678198_ru	PHYS	предлежании плода	334-351
23678198_ru	PHYS	беременности	544-556
23678198_ru	PHYS	первородящих	939-951
23678198_ru	PHYS	рожающих	983-991
23678198_ru	PHYS	родах	1031-1036
23678198_ru	DISO	кровотечением	1149-1162
23678198_ru	PHYS	повторнородящих	1372-1387
23678198_ru	PHYS	первородящих	1553-1565
23678198_ru	PHYS	беременностям	248-261
23678198_ru	FINDING	положительную статистическую связь	1413-1447
23678198_ru	INJURY_POISONING	разрыва промежности	1480-1499
23678198_ru	ANATOMY	промежности	1488-1499
23678198_ru	PHYS	затылочном предлежании плода	323-351
23678198_ru	FINDING	статистическая связь была отрицательной	1573-1612
23678198_ru	FINDING	Показатель эпизиотомии	724-746
23678201_ru	FINDING	вирусной супрессии	20-38
23678201_ru	DISO	инфекции вируса иммунодефицита человека	157-196
23678201_ru	FINDING	вирусной супрессии	220-238
23678201_ru	FINDING	супрессии	766-775
23678201_ru	FINDING	супрессии	1018-1027
23678201_ru	FINDING	супрессии	1134-1143
23678201_ru	FINDING	вирусной супрессии	1479-1497
23678201_ru	FINDING	вирусную супрессию	1830-1848
23678201_ru	DISO	иммунодефицита человека	173-196
23678201_ru	DISO	иммунодефицита	173-187
23678201_ru	FINDING	супрессии	29-38
23678201_ru	FINDING	супрессии	229-238
23678201_ru	FINDING	супрессии	1488-1497
23678201_ru	FINDING	супрессию	1839-1848
23678201_ru	ANATOMY	плазмы	841-847
23678201_ru	FINDING	порогами супрессии	757-775
23678201_ru	FINDING	порогов содержания вирусных РНК	1050-1081
23678201_ru	FINDING	порогами	1186-1194
23678201_ru	FINDING	порогами	1339-1347
23825877_ru	DISO	токсоплазмозом	1083-1097
23825877_ru	DISO	врожденного токсоплазмоза	31-56
23825877_ru	DISO	ВТ	58-60
23825877_ru	DISO	ВТ	456-458
23825877_ru	CHEM	иммуноглобулин М	506-522
23825877_ru	PHYS	сероконверсии	575-588
23825877_ru	LABPROC	положительных пробах	594-614
23825877_ru	CHEM	иммуноглобулин М	638-654
23825877_ru	FINDING	заболеваемости	699-713
23825877_ru	DISO	ВТ	724-726
23825877_ru	DISO	ВТ	941-943
23825877_ru	PHYS	инвалидность	1003-1015
23825877_ru	FINDING	заболеваемость	1057-1071
23825877_ru	DISO	врожденным токсоплазмозом	1072-1097
23825877_ru	PHYS	инвалидность	1267-1279
23825877_ru	DISO	Врожденный токсоплазмоз	1436-1459
23825877_ru	DISO	Токсоплазмоз	1518-1530
23825877_ru	FINDING	глобального бремени болезней	1581-1609
23825877_ru	PHYS	беременных	108-118
23825877_ru	DISO	токсоплазмоза	43-56
23825877_ru	PHYS	беременных	537-547
23825877_ru	DISO	токсоплазмоз	1447-1459
23825877_ru	FINDING	глобальное бремя	14-30
23825877_ru	FINDING	глобального бремени	921-940
23825877_ru	CHEM	иммуноглобулин	506-520
23825877_ru	CHEM	иммуноглобулин	638-652
23825877_ru	LABPROC	положительных пробах	462-482
23825877_ru	FINDING	бремени ВТ	716-726
23825877_ru	DISO	инфицирования	94-107
23825877_ru	FINDING	заболеваемость врожденным токсоплазмозом	1057-1097
23825877_ru	FINDING	потерянных лет жизни, скорректированных на инвалидность	1224-1279
23825877_ru	FINDING	уровни бремени	1313-1327
23825877_ru	FINDING	глобального уровня заболеваемости	885-918
23825877_ru	FINDING	бремя плохого здоровья	1481-1503
23825877_ru	FINDING	Высокие уровни бремени	1305-1327
23825880_ru	FINDING	смертности	27-37
23825880_ru	FINDING	смертности	410-420
23825880_ru	FINDING	годовые показатели подобной смертности	709-747
23825880_ru	PHYS	смертей	801-808
23825880_ru	PHYS	смертей	840-847
23825880_ru	FINDING	смертности от респираторных заболеваний были в большинстве случаев высокими	898-973
23825880_ru	FINDING	смертность	1050-1060
23825880_ru	FINDING	смертность	1409-1419
23825880_ru	DISO	респираторных заболеваний	41-66
23825880_ru	DISO	респираторных заболеваний	424-449
23825880_ru	FINDING	смертности	538-548
23825880_ru	DISO	респираторных заболеваний	552-577
23825880_ru	DISO	респираторных заболеваний	1423-1448
23825880_ru	PHYS	респираторных	41-54
23825880_ru	DISO	респираторными заболеваниями	179-207
23825880_ru	PHYS	респираторными	179-193
23825880_ru	FINDING	смертности	259-269
23825880_ru	PHYS	респираторных	424-437
23825880_ru	PHYS	респираторных	552-565
23825880_ru	DISO	респираторных заболеваний	912-937
23825880_ru	PHYS	респираторных	912-925
23825880_ru	DISO	респираторных заболеваний	1064-1089
23825880_ru	PHYS	респираторных	1064-1077
23825880_ru	PHYS	пожилых	1309-1316
23825880_ru	DISO	H1N1	1575-1579
23825880_ru	PHYS	респираторных	1423-1436
23825880_ru	PHYS	возрастных	607-617
23825880_ru	FINDING	снижались во всех возрастных группах	589-625
23825880_ru	FINDING	количеству смертей	147-165
23825880_ru	FINDING	значительные повышения наблюдались у детей	1153-1195
23825880_ru	FINDING	смертность от респираторных заболеваний постепенно снижалась	1409-1469
23825880_ru	FINDING	тенденция к снижению была прервана в 2009 году	1502-1548
23825882_ru	CHEM	йода	637-641
23825882_ru	CHEM	йода	695-699
23825882_ru	CHEM	йодированной	944-956
23825882_ru	CHEM	йодированной	74-86
23825882_ru	CHEM	йодированная	1635-1647
23825882_ru	CHEM	йодированной	1946-1958
23825882_ru	CHEM	йодированной	1191-1203
23825882_ru	CHEM	йодированной	199-211
23940402_ru	CHEM	загрязняющих веществ	31-51
23940402_ru	PHYS	здоровье	119-127
23940402_ru	CHEM	загрязняющие вещества	200-221
23940402_ru	CHEM	загрязняющих веществ	330-350
23940402_ru	CHEM	загрязняющим веществом	515-537
23940402_ru	PHYS	нетрудоспособность	574-592
23940402_ru	CHEM	загрязняющего вещества	651-673
23940402_ru	CHEM	загрязняющего вещества	695-717
23940402_ru	PHYS	здоровья	747-755
23940402_ru	CHEM	загрязняющие вещества	825-846
23940402_ru	CHEM	кадмий	864-870
23940402_ru	CHEM	кобальт	872-879
23940402_ru	CHEM	хром	881-885
23940402_ru	CHEM	медь	887-891
23940402_ru	CHEM	железо	893-899
23940402_ru	CHEM	марганец	901-909
23940402_ru	CHEM	никель	911-917
23940402_ru	CHEM	свинец	919-925
23940402_ru	CHEM	цинк	928-932
23940402_ru	CHEM	кадмия	1008-1014
23940402_ru	CHEM	кобальта	1016-1024
23940402_ru	CHEM	хрома	1026-1031
23940402_ru	CHEM	марганца	1033-1041
23940402_ru	CHEM	свинца	1044-1050
23940402_ru	CHEM	загрязняющих веществ	1201-1221
23940402_ru	CHEM	хрома	1303-1308
23940402_ru	CHEM	кадмий	1347-1353
23940402_ru	CHEM	свинец	1355-1361
23940402_ru	CHEM	марганец	1363-1371
23940402_ru	CHEM	кобальт	1374-1381
23940402_ru	CHEM	загрязняющих веществ	1409-1429
23940402_ru	CHEM	металла	1636-1643
23940402_ru	CHEM	металлами	1837-1846
23940402_ru	CHEM	Опасные загрязняющие вещества	192-221
23940402_ru	FINDING	превысило контрольный уровень	1659-1688
23940402_ru	FINDING	сопоставимо с влиянием микробного загрязнения	1696-1741
