document_id	relation	head_text	head_span	head_type	tail_text	tail_span	tail_type
23554522_ru	ALTERNATIVE_NAME	ВИЧ-инфицированных	307-325	DISO	ВИЧ-положительных	327-344	DISO
23554522_ru	SUBCLASS_OF	инъекционных опиоидных препаратов	99-132	CHEM	опиоидных препаратов	112-132	CHEM
23554522_ru	SUBCLASS_OF	инфекции вируса иммунодефицита человека	189-228	DISO	инфекции	189-197	DISO
23554522_ru	SUBCLASS_OF	инъекционных опиоидных препаратов	359-392	CHEM	опиоидных препаратов	372-392	CHEM
23554522_ru	HAS_CAUSE	смертность	69-79	FINDING	инъекционных опиоидных препаратов	99-132	CHEM
23554522_ru	ASSOCIATED_WITH	уровень гемоглобина	1365-1384	PHYS	гемоглобина	1373-1384	CHEM
23554522_ru	FINDING_OF	низкий уровень гемоглобина	1358-1384	FINDING	уровень гемоглобина	1365-1384	PHYS
23554522_ru	PHYSIOLOGY_OF	количество CD4+ Т-лимфоцитов	1394-1422	PHYS	Т-лимфоцитов	1410-1422	ANATOMY
23554522_ru	SUBCLASS_OF	иммунодефицита человека	205-228	DISO	иммунодефицита	205-219	DISO
23554522_ru	HAS_CAUSE	значительно снизилась	953-974	FINDING	Смертность	904-914	FINDING
23554522_ru	HAS_CAUSE	смертностью	653-664	FINDING	ВИЧ-инфицированных	307-325	DISO
23554522_ru	SUBCLASS_OF	Т-лимфоцитов	1410-1422	ANATOMY	лимфоцитов	1412-1422	ANATOMY
23554522_ru	ORIGINS_FROM	CD4+	1405-1409	CHEM	CD4+ Т-лимфоцитов	1405-1422	ANATOMY
23554522_ru	SUBCLASS_OF	CD4+ Т-лимфоцитов	1405-1422	ANATOMY	лимфоцитов	1412-1422	ANATOMY
23554522_ru	FINDING_OF	низкое количество CD4+	1387-1409	FINDING	количество CD4+ Т-лимфоцитов	1394-1422	PHYS
23554522_ru	FINDING_OF	смертельных исходов	804-823	FINDING	смертельных	804-815	PHYS
23554522_ru	HAS_CAUSE	смертность	825-835	FINDING	смертельных исходов	804-823	FINDING
23554523_ru	ABBREVIATION	синдром приобретенного иммунодефицита	1466-1503	DISO	СПИД	1505-1509	DISO
23554523_ru	ABBREVIATION	общих показателей смертности	635-663	FINDING	ОПС	665-668	FINDING
23554523_ru	ABBREVIATION	стандартизированных коэффициентов смертности	672-716	FINDING	СКС	718-721	FINDING
23554523_ru	SUBCLASS_OF	ВИЧ-инфекции	1895-1907	DISO	инфекции	1899-1907	DISO
23554523_ru	HAS_CAUSE	передозировки наркотиков	1954-1978	INJURY_POISONING	наркотиков	1968-1978	CHEM
23554523_ru	HAS_CAUSE	Передозировка наркотиков	1439-1463	INJURY_POISONING	наркотиков	1453-1463	CHEM
23554523_ru	SUBCLASS_OF	синдром приобретенного иммунодефицита	1466-1503	DISO	иммунодефицита	1489-1503	DISO
23554523_ru	HAS_CAUSE	смерти	1540-1546	PHYS	синдром приобретенного иммунодефицита	1466-1503	DISO
23554523_ru	HAS_CAUSE	смерти	1540-1546	PHYS	Передозировка наркотиков	1439-1463	INJURY_POISONING
23554523_ru	SUBCLASS_OF	иммунодефицита человека	1356-1379	DISO	иммунодефицита	1356-1370	DISO
23554523_ru	HAS_CAUSE	смертности	59-69	FINDING	наркотики	90-99	CHEM
23554523_ru	HAS_CAUSE	смерти	1931-1937	PHYS	передозировки наркотиков	1954-1978	INJURY_POISONING
23554523_ru	FINDING_OF	высоким риском смерти	245-266	FINDING	смерти	260-266	PHYS
23554523_ru	FINDING_OF	повышенному риску смерти	1649-1673	FINDING	смерти	1667-1673	PHYS
23554523_ru	SUBCLASS_OF	общих показателей смертности	635-663	FINDING	смертности	653-663	FINDING
23554523_ru	HAS_CAUSE	стандартизированных коэффициентов смертности	672-716	FINDING	смертности	706-716	FINDING
23554523_ru	SUBCLASS_OF	Суммарный ОПС	922-935	FINDING	ОПС	932-935	FINDING
23554523_ru	FINDING_OF	Суммарный ОПС	922-935	FINDING	смертей	951-958	PHYS
23554523_ru	SUBCLASS_OF	суммарный СКС	1056-1069	FINDING	СКС	1066-1069	FINDING
23554523_ru	SUBCLASS_OF	высокий уровень смертности	1157-1183	FINDING	смертности	1173-1183	FINDING
23554523_ru	FINDING_OF	уровни смертности	121-138	FINDING	смерти	149-155	PHYS
23554523_ru	HAS_CAUSE	уровни смертности	121-138	FINDING	наркотики	90-99	CHEM
23554523_ru	HAS_CAUSE	уровни смертности	1694-1711	FINDING	наркотики	1615-1624	CHEM
23554523_ru	HAS_CAUSE	уровни смертности	1694-1711	FINDING	смерти	1667-1673	PHYS
23554525_ru	HAS_CAUSE	опиоидной зависимости	588-609	DISO	опиоидной	588-597	CHEM
23554525_ru	ALTERNATIVE_NAME	метадона	1332-1340	CHEM	метадоновой	1602-1613	CHEM
23554526_ru	ALTERNATIVE_NAME	снижение вреда	678-692	FINDING	сокращения вреда	836-852	FINDING
23554526_ru	SUBCLASS_OF	запрещенные опиоиды	202-221	CHEM	опиоиды	214-221	CHEM
23554526_ru	SUBCLASS_OF	запрещенные наркотики	231-252	CHEM	наркотики	243-252	CHEM
23554526_ru	SUBCLASS_OF	запрещенных наркотиков	433-455	CHEM	наркотиков	445-455	CHEM
23554526_ru	HAS_CAUSE	опиоидной зависимости	1366-1387	DISO	опиоидной	1366-1375	CHEM
23554526_ru	HAS_CAUSE	смертность	159-169	PHYS	запрещенные опиоиды	202-221	CHEM
23554526_ru	SUBCLASS_OF	запрещенные опиоиды	202-221	CHEM	запрещенные наркотики	231-252	CHEM
23554526_ru	SUBCLASS_OF	синдрома приобретенного иммунодефицита	351-389	DISO	иммунодефицита	375-389	DISO
23554526_ru	SUBCLASS_OF	ВИЧ-инфекции	1190-1202	DISO	инфекции	1194-1202	DISO
23554526_ru	FINDING_OF	улучшение качества жизни	1258-1282	FINDING	качества жизни	1268-1282	PHYS
23554526_ru	SUBCLASS_OF	иммунодефицита человека	510-533	DISO	иммунодефицита	510-524	DISO
23554526_ru	HAS_CAUSE	иммунодефицита человека	510-533	DISO	героин	566-572	CHEM
23554526_ru	HAS_CAUSE	опиоидной зависимости	628-649	DISO	опиоидной	628-637	CHEM
23599555_ru	SUBCLASS_OF	опиатов	388-395	CHEM	запрещенных инъекционных наркотиков	342-377	CHEM
23599555_ru	SUBCLASS_OF	запрещенных инъекционных наркотиков	342-377	CHEM	инъекционных наркотиков	354-377	CHEM
23599555_ru	SUBCLASS_OF	инъекционных наркотиков	354-377	CHEM	наркотиков	367-377	CHEM
23599555_ru	SUBCLASS_OF	запрещенные инъекционные наркотики	69-103	CHEM	инъекционные наркотики	81-103	CHEM
23599555_ru	SUBCLASS_OF	инъекционные наркотики	81-103	CHEM	наркотики	94-103	CHEM
23599555_ru	SUBCLASS_OF	инъекционные наркотики	751-773	CHEM	наркотики	764-773	CHEM
23599555_ru	SUBCLASS_OF	ВИЧ-инфекции	891-903	DISO	инфекции	895-903	DISO
23599555_ru	SUBCLASS_OF	инъекционные наркотики	931-953	CHEM	наркотики	944-953	CHEM
23599555_ru	SUBCLASS_OF	опиоидных	1445-1454	CHEM	опиоидных рецепторов	1445-1465	CHEM
23599555_ru	SUBCLASS_OF	агонистов опиоидных рецепторов	1435-1465	CHEM	агонистов	1435-1444	CHEM
23599555_ru	SUBCLASS_OF	иммунодефицита человека	141-164	DISO	иммунодефицита	141-155	DISO
23599555_ru	SUBCLASS_OF	ВИЧ-инфекции	252-264	DISO	инфекции	256-264	DISO
23599555_ru	SUBCLASS_OF	опиоидных рецепторов	1445-1465	CHEM	рецепторов	1455-1465	CHEM
23678195_ru	FINDING_OF	не показало статистической связи с возрастом	1594-1638	FINDING	возрастом	1629-1638	PHYS
23678195_ru	FINDING_OF	положительную статистическую связь с родоразрешением	1463-1515	FINDING	родоразрешением	1500-1515	PHYS
23678195_ru	FINDING_OF	сокращения уровней смертности	2039-2068	FINDING	смертности	2058-2068	PHYS
23678195_ru	FINDING_OF	сокращения уровней смертности и заболеваемости	2039-2085	FINDING	заболеваемости	2071-2085	PHYS
23678195_ru	FINDING_OF	отрицательную статистическую связь с родоразрешением	1219-1271	FINDING	родоразрешением	1256-1271	PHYS
23678195_ru	SUBCLASS_OF	раннего возраста	454-470	PHYS	возраста	462-470	PHYS
23678196_ru	SUBCLASS_OF	рака легких	81-92	DISO	рака	81-85	DISO
23678196_ru	AFFECTS	рака легких	81-92	DISO	легких	86-92	ANATOMY
23678196_ru	HAS_CAUSE	смертности	67-77	PHYS	рака легких	81-92	DISO
23678196_ru	SUBCLASS_OF	рака легких	431-442	DISO	рака	431-435	DISO
23678196_ru	AFFECTS	рака легких	431-442	DISO	легких	436-442	ANATOMY
23678196_ru	HAS_CAUSE	смертности	417-427	PHYS	рака легких	431-442	DISO
23678196_ru	HAS_CAUSE	смертности	1637-1647	PHYS	рака	1651-1655	DISO
23678196_ru	SUBCLASS_OF	рака легких	1289-1300	DISO	рака	1289-1293	DISO
23678196_ru	AFFECTS	рака легких	1289-1300	DISO	легких	1294-1300	ANATOMY
23678196_ru	HAS_CAUSE	Смертность от рака легких	1275-1300	FINDING	рака легких	1289-1300	DISO
23678196_ru	SUBCLASS_OF	рака легких	1197-1208	DISO	рака	1197-1201	DISO
23678196_ru	AFFECTS	рака легких	1197-1208	DISO	легких	1202-1208	ANATOMY
23678196_ru	HAS_CAUSE	смертность	1183-1193	PHYS	рака легких	1197-1208	DISO
23678196_ru	ASSOCIATED_WITH	рака легких	1197-1208	DISO	смертность от рака легких в целом была низкой	1183-1228	FINDING
23678196_ru	SUBCLASS_OF	Смертность от рака легких	1275-1300	FINDING	Смертность	1275-1285	FINDING
23678196_ru	ASSOCIATED_WITH	рака легких	1289-1300	DISO	Смертность от рака легких	1275-1300	FINDING
23678196_ru	HAS_CAUSE	относительно низкой	1324-1343	FINDING	Смертность от рака легких	1275-1300	FINDING
23678197_ru	ALTERNATIVE_NAME	отставания в росте	119-137	DISO	задержки роста	496-510	DISO
23678197_ru	ASSOCIATED_WITH	росте	132-137	PHYS	отставания в росте	119-137	DISO
23678197_ru	ASSOCIATED_WITH	роста	505-510	PHYS	задержки роста	496-510	DISO
23678197_ru	ASSOCIATED_WITH	роста	635-640	PHYS	задержки роста	626-640	DISO
23678197_ru	ASSOCIATED_WITH	росте	1435-1440	PHYS	задержки в росте	1424-1440	DISO
23678197_ru	ASSOCIATED_WITH	роста	1641-1646	PHYS	задержки роста	1632-1646	DISO
23678197_ru	ASSOCIATED_WITH	росте	783-788	PHYS	отставания ребенка в росте	762-788	DISO
23678197_ru	ASSOCIATED_WITH	росте	1190-1195	PHYS	задержки в росте	1179-1195	DISO
23678197_ru	FINDING_OF	сокращению отставания в росте	108-137	FINDING	росте	132-137	PHYS
23678197_ru	ALTERNATIVE_NAME	задержки роста	626-640	DISO	отставания ребенка в росте	762-788	DISO
23678197_ru	FINDING_OF	индекс массы тела	870-887	FINDING	массы тела	877-887	PHYS
23678197_ru	ASSOCIATED_WITH	отставания в росте	119-137	DISO	сокращению отставания в росте	108-137	FINDING
23678197_ru	ASSOCIATED_WITH	интервала между родами	1341-1363	PHYS	родами	1357-1363	PHYS
23678197_ru	ASSOCIATED_WITH	интервалов между родами	1538-1561	PHYS	родами	1555-1561	PHYS
23678197_ru	ASSOCIATED_WITH	интервала между родами	1813-1835	PHYS	родами	1829-1835	PHYS
23678197_ru	ASSOCIATED_WITH	интервалы между родами	907-929	PHYS	родами	923-929	PHYS
23678198_ru	SUBCLASS_OF	одноплодным беременностям	236-261	PHYS	беременностям	248-261	PHYS
23678198_ru	SUBCLASS_OF	послеродовым кровотечением	1136-1162	DISO	кровотечением	1149-1162	DISO
23678198_ru	AFFECTS	разрыва промежности	1480-1499	INJURY_POISONING	промежности	1488-1499	ANATOMY
23678198_ru	SUBCLASS_OF	затылочном предлежании плода	323-351	PHYS	предлежании плода	334-351	PHYS
23678198_ru	HAS_CAUSE	родоразрешениям	303-318	PHYS	затылочном предлежании плода	323-351	PHYS
23678201_ru	SUBCLASS_OF	вирусной супрессии	20-38	FINDING	супрессии	29-38	FINDING
23678201_ru	SUBCLASS_OF	вирусной супрессии	220-238	FINDING	супрессии	229-238	FINDING
23678201_ru	SUBCLASS_OF	вирусной супрессии	1479-1497	FINDING	супрессии	1488-1497	FINDING
23678201_ru	SUBCLASS_OF	вирусную супрессию	1830-1848	FINDING	супрессию	1839-1848	FINDING
23678201_ru	SUBCLASS_OF	иммунодефицита человека	173-196	DISO	иммунодефицита	173-187	DISO
23678201_ru	HAS_CAUSE	порогами супрессии	757-775	FINDING	супрессии	766-775	FINDING
23678201_ru	ALTERNATIVE_NAME	порогов содержания вирусных РНК	1050-1081	FINDING	порогами	1186-1194	FINDING
23825877_ru	ABBREVIATION	врожденного токсоплазмоза	31-56	DISO	ВТ	58-60	DISO
23825877_ru	SUBCLASS_OF	иммуноглобулин М	638-654	CHEM	иммуноглобулин	638-652	CHEM
23825877_ru	SUBCLASS_OF	иммуноглобулин М	506-522	CHEM	иммуноглобулин	506-520	CHEM
23825877_ru	SUBCLASS_OF	врожденным токсоплазмозом	1072-1097	DISO	токсоплазмозом	1083-1097	DISO
23825877_ru	SUBCLASS_OF	Врожденный токсоплазмоз	1436-1459	DISO	токсоплазмоз	1447-1459	DISO
23825877_ru	ALTERNATIVE_NAME	уровни бремени	1313-1327	FINDING	глобального бремени болезней	1581-1609	FINDING
23825877_ru	SUBCLASS_OF	врожденного токсоплазмоза	31-56	DISO	токсоплазмоза	43-56	DISO
23825877_ru	HAS_CAUSE	врожденного токсоплазмоза	31-56	DISO	инфицирования	94-107	DISO
23825877_ru	ASSOCIATED_WITH	токсоплазмозом	1083-1097	DISO	Высокие уровни бремени	1305-1327	FINDING
23825877_ru	TO_DETECT_OR_STUDY	положительных пробах	462-482	LABPROC	иммуноглобулин М	506-522	CHEM
23825877_ru	TO_DETECT_OR_STUDY	положительных пробах	594-614	LABPROC	иммуноглобулин М	638-654	CHEM
23825877_ru	ASSOCIATED_WITH	врожденного токсоплазмоза	31-56	DISO	глобальное бремя	14-30	FINDING
23825877_ru	ASSOCIATED_WITH	ВТ	724-726	DISO	бремени ВТ	716-726	FINDING
23825877_ru	ASSOCIATED_WITH	ВТ	941-943	DISO	глобального уровня заболеваемости	885-918	FINDING
23825877_ru	ASSOCIATED_WITH	ВТ	941-943	DISO	глобального бремени	921-940	FINDING
23825877_ru	HAS_CAUSE	Высокие уровни бремени	1305-1327	FINDING	уровни бремени	1313-1327	FINDING
23825877_ru	ASSOCIATED_WITH	Врожденный токсоплазмоз	1436-1459	DISO	бремя плохого здоровья	1481-1503	FINDING
23825877_ru	ASSOCIATED_WITH	Токсоплазмоз	1518-1530	DISO	глобального бремени болезней	1581-1609	FINDING
23825877_ru	SUBCLASS_OF	заболеваемость врожденным токсоплазмозом	1057-1097	FINDING	заболеваемость	1057-1071	FINDING
23825877_ru	ASSOCIATED_WITH	врожденным токсоплазмозом	1072-1097	DISO	заболеваемость врожденным токсоплазмозом	1057-1097	FINDING
23825877_ru	ASSOCIATED_WITH	ВТ	724-726	DISO	заболеваемости	699-713	FINDING
23825877_ru	FINDING_OF	потерянных лет жизни, скорректированных на инвалидность	1224-1279	FINDING	инвалидность	1267-1279	PHYS
23825880_ru	ASSOCIATED_WITH	респираторными	179-193	PHYS	респираторными заболеваниями	179-207	DISO
23825880_ru	ASSOCIATED_WITH	респираторных	552-565	PHYS	респираторных заболеваний	552-577	DISO
23825880_ru	ASSOCIATED_WITH	респираторных	424-437	PHYS	респираторных заболеваний	424-449	DISO
23825880_ru	ASSOCIATED_WITH	респираторных	912-925	PHYS	респираторных заболеваний	912-937	DISO
23825880_ru	ASSOCIATED_WITH	респираторных	1064-1077	PHYS	респираторных заболеваний	1064-1089	DISO
23825880_ru	ASSOCIATED_WITH	респираторных	1423-1436	PHYS	респираторных заболеваний	1423-1448	DISO
23825880_ru	HAS_CAUSE	смертности	27-37	FINDING	респираторных заболеваний	41-66	DISO
23825880_ru	HAS_CAUSE	смертности	259-269	FINDING	респираторными заболеваниями	179-207	DISO
23825880_ru	HAS_CAUSE	смертности	410-420	FINDING	респираторных заболеваний	424-449	DISO
23825880_ru	HAS_CAUSE	смертности	538-548	FINDING	респираторных заболеваний	552-577	DISO
23825880_ru	HAS_CAUSE	смертности от респираторных заболеваний были в большинстве случаев высокими	898-973	FINDING	респираторных заболеваний	912-937	DISO
23825880_ru	HAS_CAUSE	смертность	1050-1060	FINDING	респираторных заболеваний	1064-1089	DISO
23825880_ru	HAS_CAUSE	смертность	1409-1419	FINDING	респираторных заболеваний	1423-1448	DISO
23825880_ru	HAS_CAUSE	снижались во всех возрастных группах	589-625	FINDING	смертности	538-548	FINDING
23825880_ru	ASSOCIATED_WITH	респираторных заболеваний	552-577	DISO	снижались во всех возрастных группах	589-625	FINDING
23825880_ru	ASSOCIATED_WITH	респираторных	41-54	PHYS	респираторных заболеваний	41-66	DISO
23825880_ru	HAS_CAUSE	количеству смертей	147-165	FINDING	респираторными заболеваниями	179-207	DISO
23825880_ru	FINDING_OF	смертности от респираторных заболеваний были в большинстве случаев высокими	898-973	FINDING	респираторных	912-925	PHYS
23825880_ru	ASSOCIATED_WITH	респираторных заболеваний	912-937	DISO	смертности от респираторных заболеваний были в большинстве случаев высокими	898-973	FINDING
23825880_ru	HAS_CAUSE	значительные повышения наблюдались у детей	1153-1195	FINDING	смертность	1050-1060	FINDING
23825882_ru	ALTERNATIVE_NAME	йода	695-699	CHEM	йодированной	199-211	CHEM
23940402_ru	SUBCLASS_OF	Опасные загрязняющие вещества	192-221	CHEM	загрязняющие вещества	200-221	CHEM
23940402_ru	SUBCLASS_OF	кадмий	864-870	CHEM	загрязняющие вещества	825-846	CHEM
23940402_ru	SUBCLASS_OF	кобальт	872-879	CHEM	загрязняющие вещества	825-846	CHEM
23940402_ru	SUBCLASS_OF	хром	881-885	CHEM	загрязняющие вещества	825-846	CHEM
23940402_ru	SUBCLASS_OF	медь	887-891	CHEM	загрязняющие вещества	825-846	CHEM
23940402_ru	SUBCLASS_OF	железо	893-899	CHEM	загрязняющие вещества	825-846	CHEM
23940402_ru	SUBCLASS_OF	марганец	901-909	CHEM	загрязняющие вещества	825-846	CHEM
23940402_ru	SUBCLASS_OF	никель	911-917	CHEM	загрязняющие вещества	825-846	CHEM
23940402_ru	SUBCLASS_OF	свинец	919-925	CHEM	загрязняющие вещества	825-846	CHEM
23940402_ru	SUBCLASS_OF	цинк	928-932	CHEM	загрязняющие вещества	825-846	CHEM
23940402_ru	HAS_CAUSE	превысило контрольный уровень	1659-1688	FINDING	металла	1636-1643	CHEM
23940402_ru	HAS_CAUSE	сопоставимо с влиянием микробного загрязнения	1696-1741	FINDING	металла	1636-1643	CHEM
