document_id	text	entity_type	spans	UMLS_CUI
23940402_ru	загрязняющим веществом	CHEM	515-537	C0043053
23940402_ru	кадмий	CHEM	864-870	C0373557
23940402_ru	загрязняющего вещества	CHEM	651-673	C0043053
23940402_ru	свинца	CHEM	1044-1050	C0023175
23940402_ru	хром	CHEM	881-885	C0008574
23940402_ru	загрязняющие вещества	CHEM	200-221	C0043053
23940402_ru	цинк	CHEM	928-932	C0043481
23940402_ru	медь	CHEM	887-891	C0009968
23940402_ru	свинец	CHEM	1355-1361	C0023175
23940402_ru	хрома	CHEM	1026-1031	C0008574
23940402_ru	загрязняющего вещества	CHEM	695-717	C0043053
23940402_ru	металлами	CHEM	1837-1846	C0025552
23940402_ru	загрязняющие вещества	CHEM	825-846	C0043053
23940402_ru	свинец	CHEM	919-925	C0023175
23940402_ru	кобальта	CHEM	1016-1024	C0009148
23940402_ru	никель	CHEM	911-917	C0028013
23940402_ru	Опасные загрязняющие вещества	CHEM	192-221	CUILESS
23940402_ru	кобальт	CHEM	872-879	C0009148
23940402_ru	кобальт	CHEM	1374-1381	C0009148
23940402_ru	металла	CHEM	1636-1643	C0025552
23940402_ru	хрома	CHEM	1303-1308	C0008574
23940404_ru	печенью	ANATOMY	837-844	C0023884
23940404_ru	инфекционных заболеваний	DISO	1090-1114	C0009450
23940404_ru	проблемы с печенью	DISO	826-844	C0023895
23940407_ru	общих перинатальных психических расстройств	DISO	536-579	C0156859
23940407_ru	ОППР	DISO	1547-1551	C0156859
23940407_ru	перинатальных психических расстройств	DISO	542-579	C0156859
23940407_ru	ОППР	DISO	581-585	C0156859
23940407_ru	депрессии	DISO	612-621	C0011570
23940407_ru	материнской депрессии	DISO	1170-1191	CUILESS
23940407_ru	психических расстройств	DISO	556-579	C0004936
23940407_ru	беспокойства	DISO	626-638	C0233481
23940407_ru	диареи	DISO	1448-1454	C0011991
23940407_ru	послеродовой депрессии	DISO	599-621	C0221074
23940407_ru	депрессии	DISO	1182-1191	C0011570
23940409_ru	грудное	ANATOMY	1594-1601	C0006141
23940409_ru	грудном	ANATOMY	1371-1378	C0006141
23940409_ru	грудными	ANATOMY	1229-1237	CUILESS
23940409_ru	грудных	ANATOMY	312-319	CUILESS
23940409_ru	грудное	ANATOMY	1465-1472	C0006141
23940409_ru	грудного	ANATOMY	613-621	C0006141
23940409_ru	грудного	ANATOMY	215-223	C0006141
23940409_ru	грудного	ANATOMY	1764-1772	C0006141
24052677_ru	ВИЧ инфекции	DISO	82-94	C0019693
24052677_ru	инфекции	DISO	86-94	C3714514
24052677_ru	Т-лимфоцитов	ANATOMY	559-571	C0039194
24052677_ru	ВИЧ инфекции	DISO	1655-1667	C0019693
24052677_ru	CD4+ клеток	ANATOMY	573-584	C0039194
24052677_ru	CD4+	ANATOMY	554-558	C0003323
24052677_ru	инфекции	DISO	1659-1667	C3714514
24052677_ru	клеток	ANATOMY	578-584	C0007634
24052677_ru	антиретровирусными препаратами	CHEM	610-640	C0599685
24052680_ru	глюкозы	CHEM	837-844	C0337438
24052680_ru	инсулина	CHEM	733-741	C0021641
24052680_ru	инсулина	CHEM	1467-1475	C0021641
24052680_ru	сахарным диабетом	DISO	65-82	C0011849
24052680_ru	глюкозы	CHEM	1419-1426	C0337438
24052680_ru	диабетом	DISO	74-82	C0011847
24052680_ru	крови	ANATOMY	847-852	C0005767
24052680_ru	диабетом	DISO	617-625	C0011847
24052680_ru	крови	ANATOMY	1429-1434	C0005767
24052680_ru	T1DM	DISO	450-454	C0011854
24052680_ru	T1DM	DISO	1863-1867	C0011854
24052680_ru	T1DM	DISO	1985-1989	C0011854
24052680_ru	T1DM	DISO	94-98	C0011854
24052680_ru	сахарным диабетом 1-го типа	DISO	65-92	C0011854
24052682_ru	печени,	ANATOMY	1568-1575	C0023884
24052682_ru	тифом	DISO	1584-1589	C0041471
24052682_ru	астмой	DISO	1576-1582	C0004096
24052682_ru	заболеваниями печени	DISO	1545-1558,1568-1574	C0023895
24052682_ru	тропические инфекции	DISO	1179-1199	C2938901
24052682_ru	заболеваниями сердца	DISO	1545-1565	C0018799
24052682_ru	неинфекционные заболевания.	DISO	1202-1229	C4505065
24052682_ru	сердц	ANATOMY	1559-1564	C0018787
24052682_ru	инфекции	DISO	1191-1199	C3714514
24101779_ru	заболеваний сердечно-сосудистой системы	DISO	1272-1311	C0007222
24101779_ru	сердечно-сосудистой системы	ANATOMY	834-861	C0007226
24101779_ru	рака	DISO	1314-1318	C0006826
24101779_ru	рак	DISO	759-762	C0006826
24101779_ru	сердечно-сосудистой системы	ANATOMY	1284-1311	C0007226
24101779_ru	заболеваний сердечно-сосудистой системы	DISO	822-861	C0007222
24101779_ru	рака	DISO	884-888	C0006826
24101779_ru	сердечно-сосудистой системы	ANATOMY	729-756	C0007226
24101779_ru	сосудистой	ANATOMY	1293-1303	C0005847
24101779_ru	сердечно	ANATOMY	729-737	C0018787
24101779_ru	сердечно	ANATOMY	1284-1292	C0018787
24101779_ru	сосудистой	ANATOMY	843-853	C0005847
24101779_ru	заболевания сердечно-сосудистой системы	DISO	717-756	C0007222
24101779_ru	неинфекционных заболеваний	DISO	1235-1261	C4505065
24101779_ru	сосудистой	ANATOMY	738-748	C0005847
24101779_ru	неинфекционных заболеваний	DISO	1690-1716	C4505065
24101779_ru	сердечно	ANATOMY	834-842	C0018787
24101780_ru	шейки матки	ANATOMY	121-132	C0007874
24101780_ru	шейки матки	ANATOMY	327-338	C0007874
24101780_ru	рака	DISO	1556-1560	C0006826
24101780_ru	раке	DISO	341-345	C0006826
24101780_ru	рака	DISO	116-120	C0006826
24101780_ru	рака	DISO	893-897	C0006826
24101780_ru	рака	DISO	1035-1039	C0006826
24101780_ru	рака	DISO	1232-1236	C0006826
24101780_ru	рака	DISO	1309-1313	C0006826
24101780_ru	рака	DISO	1579-1583	C0006826
24101780_ru	шейки матки	ANATOMY	1237-1248	C0007874
24101780_ru	рака	DISO	1736-1740	C0006826
24101780_ru	рака	DISO	1759-1763	C0006826
24101780_ru	рака шейки матки	DISO	1759-1775	C4048328
24101780_ru	рака шейки матки.	DISO	1579-1596	C4048328
24101780_ru	железы	ANATOMY	355-361	C1285092
24101780_ru	железы	ANATOMY	1570-1576	C1285092
24101780_ru	рака шейки матки	DISO	116-132	C4048328
24101780_ru	раке шейки матки	DISO	322-338	C4048328
24101780_ru	железы	ANATOMY	149-155	C1285092
24101780_ru	рака	DISO	1207-1211	C0006826
24101780_ru	железы	ANATOMY	1323-1329	C1285092
24101780_ru	железы	ANATOMY	1750-1756	C1285092
24101780_ru	неинфекционными заболеваниями	DISO	804-833	C4505065
24101780_ru	рака шейки матки	DISO	1035-1051	C4048328
24101780_ru	раке	DISO	322-326	C0006826
24101780_ru	рака шейки матки	DISO	1232-1248	C4048328
24101780_ru	рака	DISO	1850-1854	C0006826
24101780_ru	рака	DISO	135-139	C0006826
24101780_ru	матки	ANATOMY	1046-1051	C0042149
24101780_ru	железы	ANATOMY	907-913	C1285092
24101780_ru	молочной железы	ANATOMY	1314-1329	C0006141
24101780_ru	молочной железы	ANATOMY	1561-1576	C0006141
24101780_ru	молочной железы	ANATOMY	898-913	C0006141
24101780_ru	молочной железы	ANATOMY	346-361	C0006141
24101780_ru	матки	ANATOMY	1243-1248	C0042149
24101780_ru	молочной железы	ANATOMY	140-155	C0006141
24101780_ru	матки	ANATOMY	1770-1775	C0042149
24101780_ru	матки	ANATOMY	333-338	C0042149
24101780_ru	матки	ANATOMY	127-132	C0042149
24101780_ru	матки	ANATOMY	1590-1595	C0042149
24101780_ru	раке молочной железы	DISO	341-361	C0006142
24101780_ru	шейки матки	ANATOMY	1040-1051	C0007874
24101780_ru	молочной железы	ANATOMY	1741-1756	C0006141
24101780_ru	шейки матки	ANATOMY	1764-1775	C0007874
24101780_ru	шейки матки	ANATOMY	1584-1595	C0007874
24101780_ru	рака молочной железы	DISO	1309-1329	C0006142
24101780_ru	рака молочной железы	DISO	1556-1576	C0006142
24101780_ru	рака молочной железы	DISO	135-155	C0006142
24101780_ru	рака молочной железы	DISO	893-913	C0006142
24101780_ru	рака молочной железы	DISO	1736-1756	C0006142
24101784_ru	железы	ANATOMY	233-239	C1285092
24101784_ru	матки	ANATOMY	252-257	C0042149
24101784_ru	железы	ANATOMY	1164-1170	C1285092
24101784_ru	рака шейки матки	DISO	1173-1189	C4048328
24101784_ru	инфекций	DISO	300-308	C3714514
24101784_ru	осложнений	DISO	354-364	C0852962
24101784_ru	матки	ANATOMY	1184-1189	C0042149
24101784_ru	Рак молочной железы	DISO	672-691	C0006142
24101784_ru	железы	ANATOMY	685-691	C1285092
24101784_ru	рак молочной железы	DISO	220-239	C0006142
24101784_ru	рак шейки матки	DISO	242-257	C4048328
24101784_ru	рака молочной железы	DISO	1150-1170	C0006142
24101784_ru	Рак	DISO	672-675	C0006826
24101784_ru	рака	DISO	1173-1177	C0006826
24101784_ru	рака	DISO	1058-1062	C0006826
24101784_ru	шейки матки	ANATOMY	694-705	C0007874
24101784_ru	рака	DISO	897-901	C0006826
24101784_ru	молочной железы	ANATOMY	224-239	C0006141
24101784_ru	рак	DISO	220-223	C0006826
24101784_ru	шейки матки	ANATOMY	1178-1189	C0007874
24101784_ru	шейки матки	ANATOMY	246-257	C0007874
24101784_ru	матки	ANATOMY	700-705	C0042149
24101784_ru	рак	DISO	242-245	C0006826
24101784_ru	Рак молочной железы и шейки матки	DISO	672-705	C0279672
24101784_ru	молочной железы	ANATOMY	676-691	C0006141
24101784_ru	рака	DISO	751-755	C0006826
24101784_ru	молочной железы	ANATOMY	1155-1170	C0006141
24101784_ru	неинфекционные болезни	DISO	1437-1459	C4505065
24101784_ru	рака	DISO	1150-1154	C0006826
24101784_ru	инфекций, передаваемых половым путем	DISO	300-336	C0036916
24101785_ru	папилломы	DISO	1492-1501	C0030354
24101785_ru	матки	ANATOMY	540-545	C0042149
24101785_ru	матки	ANATOMY	744-749	C0042149
24101785_ru	иммунодефицита человека	DISO	1149-1172	C0019693
24101785_ru	СПИДом	DISO	471-477	C0001175
24101785_ru	матки	ANATOMY	96-101	C0042149
24101785_ru	матки	ANATOMY	1039-1044	C0042149
24101785_ru	вакцина	CHEM	1470-1477	C0042210
24101785_ru	вакцина против вируса папилломы человека	CHEM	1470-1510	C1512511
24101785_ru	раком молочной железы	DISO	66-87	C0006142
24101785_ru	шейки матки	ANATOMY	1033-1044	C0007874
24101785_ru	раком	DISO	510-515	C0006826
24101785_ru	рака	DISO	1388-1392	C0006826
24101785_ru	рака шейки матки	DISO	733-749	CUILESS
24101785_ru	шейки матки	ANATOMY	90-101	C0007874
24101785_ru	рака шейки матки	DISO	1028-1044	CUILESS
24101785_ru	молочной железы	ANATOMY	1215-1230	C0006141
24101785_ru	молочной железы	ANATOMY	72-87	C0006141
24101785_ru	молочной железы	ANATOMY	831-846	C0006141
24101785_ru	молочной железы	ANATOMY	516-531	C0006141
24101785_ru	раком	DISO	66-71	C0006826
24101785_ru	раком шейки матки	DISO	66-71,90-101	CUILESS
24101785_ru	шейки матки	ANATOMY	534-545	C0007874
24101785_ru	рака	DISO	733-737	C0006826
24101785_ru	раком молочной железы	DISO	510-531	C0006142
24101785_ru	рака	DISO	1028-1032	C0006826
24101785_ru	шейки матки	ANATOMY	738-749	C0007874
24101785_ru	раке	DISO	1210-1214	C0006826
24101785_ru	иммунодефицита	DISO	1149-1163	C0021051
24101785_ru	рака молочной железы	DISO	826-846	C0006142
24101785_ru	железы	ANATOMY	525-531	C1285092
24101785_ru	железы	ANATOMY	840-846	C1285092
24101785_ru	железы	ANATOMY	1224-1230	C1285092
24101785_ru	железы	ANATOMY	81-87	C1285092
24101785_ru	раке молочной железы	DISO	1210-1230	C0006142
24101785_ru	рака	DISO	826-830	C0006826
24101785_ru	раком шейки матки	DISO	510-515,534-545	CUILESS
24101786_ru	рака шейки матки	DISO	76-92	C4048328
24101786_ru	папилломы человека	DISO	1034-1052	C0030354
24101786_ru	папилломы	DISO	1034-1043	C0030354
24101786_ru	рака шейки матки	DISO	453-469	C4048328
24101786_ru	рака	DISO	453-457	C0006826
24101786_ru	рака	DISO	2070-2074	C0006826
24101786_ru	неинфекционными заболеваниями	DISO	659-688	C4505065
24101786_ru	рака шейки матки	DISO	2070-2086	C4048328
24101786_ru	раком шейки матки	DISO	1612-1629	C4048328
24101786_ru	рака	DISO	76-80	C0006826
24101786_ru	рака	DISO	157-161	C0006826
24101786_ru	раком	DISO	1612-1617	C0006826
24101786_ru	шейки матки	ANATOMY	458-469	C0007874
24101786_ru	вакцины	CHEM	1123-1130	C0042210
24101786_ru	вакцины	CHEM	1012-1019	C0042210
24101786_ru	матки	ANATOMY	1624-1629	C0042149
24101786_ru	матки	ANATOMY	87-92	C0042149
24101786_ru	уксусной кислоты	CHEM	1367-1383	C0000979
24101786_ru	матки	ANATOMY	2081-2086	C0042149
